data_folder_name;pit_tag;breeding_stage;clutch_number;device_id;device_type;device_settings;deployment_start_utc;deployment_end_utc;delay;locode;site;burrow;sex;weight_at_start_g;weight_at_end_g;number_eggs;number_chicks;animal_notes;Data_note;trip dur (d)
I3093FP2;15984804;I;1;P2;AxyTrek300;1;16/09/2020 4:04;20/09/2020 23:46:00 PM;2430;1;30;3093;F;1020;1000;2;;;logging start at sea (6:34);3
I4028MP25;63627612;I;1;P25;AxyTrek600;1;16/09/2020 4:02;19/09/2020 6:46;2430;1;30;4028;M;1250;1300;2;;;logging start at sea (6:32);1
G3053MP20;57643814;G;1;P20;AxyTrek300;2;16/09/2020 4:14;18/09/2020 3:20;990;1;30;3053;M;1050;1050;;2;;logging start at sea (6:44);1
G3061MP21;63629271;G;1;P21;AxyTrek300;2;16/09/2020 4:19;18/09/2020 3:18;990;1;30;3061;M;1080;1100;;2;;logging start at sea (6:49);1
G3084FP5;63627793;G;1;P5;AxyTrek300;2;16/09/2020 4:32;18/09/2020 3:08;990;1;30;3084;F;940;940;;2;;logging start at sea (7:02);1
G3106MP4;63605516;G;1;P4;AxyTrek300;2;16/09/2020 4:49;18/09/2020 3:11;990;1;30;3106;M;1110;1120;;2;;logging start at sea (7:19);1
G4016MP7;63627997;G;1;P7;AxyTrek300;2;18/09/2020 4:22;20/09/2020 6:53;900;1;30;4016;M;1150;1180;;2;;logging start at sea (5:22);1
G4019FP9;63628649;G;1;P9;AxyTrek300;2;18/09/2020 4:28;20/09/2020 6:57;900;1;30;4019;F;1010;1000;;2;;logging start at sea (5:28);1
G3027FP10;63629119;G;1;P10;AxyTrek300;2;18/09/2020 4:33;20/09/2020 6:49;900;1;30;3027;F;1030;1060;;2;;logging start at sea (3:31);1
G3077FP12;33453634;G;1;P12;AxyTrek300;2;18/09/2020 4:53;20/09/2020 7:05;900;1;30;3077;F;1090;1100;;2;;logging start at sea (5:53);1
G3047FP16;63628006;G;1;P16;AxyTrek300;0;21/09/2020 2:22;23/09/2020 1:23;1020;1;30;3047;F;900;900;;2;;Acc 100Hz, logging start at sea (5:22);1
G3059FP19;15984743;G;1;P19;AxyTrek300;2;21/09/2020 2:27;23/09/2020 1:28;1020;1;30;3059;F;980;1000;;2;;logging start at sea (5:27);1
G3076FP18;15979354;G;1;P18;AxyTrek300;2;21/09/2020 2:30;23/09/2020 1:08;1020;1;30;3076;F;1110;1090;;1;;logging start at sea (5:31);1
G3080MP11;15979019;G;1;P11;AxyTrek300;2;21/09/2020 2:34;23/09/2020 1:13;1020;1;30;3080;M;1050;1070;;2;;logging start at sea (5:34);1
